"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT"
"     C/2000 M7 (SOHO)",1.0000,0.005,144.40,1.59,80.82,,2000-06-27.4,,PAR,1,,40,T,,,,
"     C/2000 M8 (SOHO)",1.0000,0.005,142.18,15.71,93.94,,2000-06-28.3,,PAR,1,,21,T,,,,
"     C/2000 M9 (SOHO)",1.0000,0.005,144.53,7.63,86.17,,2000-07-01.9,,PAR,1,,35,T,,,,
"     C/2000 N1 (SOHO)",1.0000,0.005,144.08,1.88,81.21,,2000-07-03.2,,PAR,2,,55,T,,,,
"     C/2000 N2 (SOHO)",1.0000,0.007,143.83,12.38,91.63,,2000-07-08.8,,PAR,0,,10,T,,,,
"     C/2000 N3 (SOHO)",1.0000,0.005,145.48,7.75,86.95,,2000-07-05.0,,PAR,0,,5,T,,,,
"     C/2000 N4 (SOHO)",1.0000,0.035,74.50,73.89,59.61,,2000-07-04.8,,PAR,0,,7,T,,,,
"     C/2000 O1 (Koehn)",1.0000,5.922,148.10,88.88,55.16,,2000-01-27.7,,HYP,987,,64,,,,,
"     C/2000 OF8 (Spacewatch)",1.0018,2.173,152.43,117.09,256.08,,2001-08-04.8,,HYP,373,,72,,,,,
"     C/2000 P1 (SOHO)",1.0000,0.005,143.41,7.24,86.44,,2000-08-07.2,,PAR,0,,13,T,,,,
"     C/2000 P2 (SOHO)",1.0000,0.005,143.55,4.16,84.73,,2000-08-15.4,,PAR,1,,18,T,,,,
"     C/2000 Q1 (SOHO)",1.0000,0.057,87.14,256.11,83.66,,2000-08-29.4,,PAR,1,,55,T,,,,
"     P/2000 R2 (LINEAR)",0.5837,1.390,3.22,187.50,147.06,5.29,2000-09-12.6,6.1,JFc,87,6,56,,,,,
"     C/2000 S3 (LONEOS)",0.7723,2.662,25.16,41.15,298.27,20.72,2000-07-16.3,40,JFc,98,5,33,,,,,
"     C/2000 S5",1.0000,0.602,53.82,341.63,291.48,,2000-10-26.6,,PAR,46,,11,T,,,,
"     C/2000 S6 (SOHO)",1.0000,0.005,144.59,2.93,81.81,,2000-09-29.1,,PAR,0,,13,T,,,,
"     C/2000 SV74 (LINEAR)",1.0049,3.542,75.24,24.19,76.24,,2002-04-30.5,,HYP,1359,,2039,,,,,
"     C/2000 T1 (SOHO)",1.0000,0.005,144.09,2.25,81.23,,2000-10-11.4,,PAR,2,,58,T,,,,
"     C/2000 T3 (SOHO)",1.0000,0.005,145.22,4.77,88.67,,2000-10-11.6,,PAR,0,,7,T,,,,
"     C/2000 T4 (SOHO)",1.0000,0.005,144.67,7.49,87.12,,2000-10-12.5,,PAR,0,,21,T,,,,
"     C/2000 T5 (SOHO)",1.0000,0.006,146.54,355.75,70.98,,2000-10-07.3,,PAR,0,,5,T,,,,
"     C/2000 T6 (SOHO)",1.0000,0.005,141.30,317.90,55.40,,2000-10-12.6,,PAR,0,,7,T,,,,
"     C/2000 U1 (SOHO)",1.0000,0.005,144.25,10.96,89.30,,2000-10-21.7,,PAR,0,,5,T,,,,
"     C/2000 U2 (SOHO)",1.0000,0.007,144.49,7.68,86.24,,2000-10-23.4,,PAR,1,,45,T,,,,
"     C/2000 U3 (SOHO)",1.0000,0.007,141.43,344.74,66.93,,2000-10-24.8,,PAR,0,,27,T,,,,
"     C/2000 U4 (SOHO)",1.0000,0.005,146.50,359.74,85.11,,2000-10-25.4,,PAR,0,,12,T,,,,
"     C/2000 U5 (LINEAR)",1.0054,3.486,93.65,65.29,299.02,,2000-03-13.5,,HYP,362,,288,,,,,
"     C/2000 V1 (SOHO)",1.0000,0.006,144.08,2.59,81.71,,2000-11-05.1,,PAR,0,,20,T,,,,
"     C/2000 V2 (SOHO)",1.0000,0.007,140.24,347.37,69.95,,2000-11-05.9,,PAR,0,,4,T,,,,
"     C/2000 V3 (SOHO)",1.0000,0.005,144.00,3.77,82.91,,2000-11-11.6,,PAR,1,,19,T,,,,
"     C/2000 V4 (SOHO)",1.0000,0.050,54.97,324.91,180.01,,2000-11-11.4,,PAR,1,,15,T,,,,
"     C/2000 W1 (Utsunomiya-Jones)",1.0000,0.321,160.17,10.77,51.51,,2000-12-26.5,,HYP,58,,440,,,,,
"     C/2000 WM1 (LINEAR)",1.0002,0.555,72.55,237.90,276.77,,2002-01-22.6,,HYP,981,,2130,,5.8e-09,-8.0e-11,,
"     C/2000 W2 (SOHO)",1.0000,0.005,146.40,353.04,75.32,,2000-11-16.6,,PAR,0,,6,T,,,,
"     C/2000 W3 (SOHO)",1.0000,0.008,144.38,8.23,86.48,,2000-11-18.6,,PAR,0,,9,T,,,,
"     C/2000 W4 (SOHO)",1.0000,0.005,144.52,359.32,79.61,,2000-11-20.3,,PAR,1,,29,T,,,,
"     C/2000 W5 (SOHO)",1.0000,0.005,145.72,5.15,84.40,,2000-11-27.6,,PAR,0,,8,T,,,,
"     C/2000 X1 (SOHO)",1.0000,0.005,145.96,7.00,87.16,,2000-12-03.9,,PAR,0,,8,T,,,,
"     C/2000 X2 (SOHO)",1.0000,0.005,143.15,12.94,90.21,,2000-12-06.5,,PAR,1,,17,T,,,,
"     C/2000 X3 (SOHO)",1.0000,0.006,144.49,359.30,79.03,,2000-12-06.5,,PAR,1,,32,T,,,,
"     C/2000 X4 (SOHO)",1.0000,0.006,141.91,314.54,38.13,,2000-12-05.7,,PAR,0,,5,T,,,,
"     C/2000 X5 (SOHO)",1.0000,0.005,143.18,3.76,80.32,,2000-12-07.4,,PAR,0,,6,T,,,,
"     C/2000 X6 (SOHO)",1.0000,0.008,138.16,346.04,68.37,,2000-12-07.8,,PAR,0,,7,T,,,,
"     C/2000 X7 (SOHO)",1.0000,0.006,147.79,340.27,61.09,,2000-12-11.0,,PAR,0,,9,T,,,,
"     C/2000 X8 (SOHO)",1.0000,0.005,140.57,23.50,98.14,,2000-12-13.2,,PAR,0,,10,T,,,,
"     C/2000 X9 (SOHO)",1.0000,0.039,72.66,73.96,60.08,,2000-12-03.7,,PAR,0,,9,T,,,,
"     C/2000 Y1 (Tubbiolo)",1.0023,7.975,137.97,239.39,181.73,,2001-02-02.1,,HYP,742,,94,,,,,
"     C/2000 Y2 (Skiff)",0.9943,2.769,12.09,185.85,326.82,976.99,2001-03-21.8,1.08e+04,JFc,201,,159,,,,,
"     C/2000 Y4 (SOHO)",1.0000,0.005,132.68,324.92,52.89,,2000-12-18.0,,PAR,0,,23,T,,,,
"     C/2000 Y5 (SOHO)",1.0000,0.007,142.93,315.39,38.85,,2000-12-20.0,,PAR,0,,5,T,,,,
"     C/2000 Y6 (SOHO)",1.0000,0.025,87.30,229.47,88.03,,2000-12-20.8,,PAR,0,,13,T,,,,
"     C/2000 Y7 (SOHO)",1.0000,0.025,89.02,228.93,89.13,,2000-12-20.8,,PAR,0,,12,T,,,,
"     C/2000 Y8 (SOHO)",1.0000,0.006,145.95,3.25,79.51,,2000-12-24.1,,PAR,0,,6,T,,,,
"     C/2000 Y9 (SOHO)",1.0000,0.005,147.66,343.96,66.36,,2000-12-25.4,,PAR,0,,5,T,,,,
"     C/2001 A1 (LINEAR)",0.9909,2.406,59.94,339.59,107.89,528.62,2000-09-17.6,4.33e+03,COM,93,,126,,,,,
"     C/2001 A2-A (LINEAR)",0.9997,0.779,36.49,295.13,295.32,5060.28,2001-05-24.5,1.27e+05,COM,136,,436,,-2.1e-08,1.9e-08,,
"     C/2001 A2-B (LINEAR)",0.9993,0.779,36.48,295.12,295.33,2236.43,2001-05-24.5,3.74e+04,COM,333,,1717,,5.3e-09,-3.1e-09,6.6e-10,
"     C/2001 A3 (SOHO)",1.0000,0.007,143.63,12.05,90.69,,2001-01-08.6,,PAR,1,,14,T,,,,
"     C/2001 A4 (SOHO)",1.0000,0.005,144.69,356.82,76.03,,2001-01-14.8,,PAR,0,,19,T,,,,
"     C/2001 B1 (LINEAR)",1.0012,2.928,104.11,49.84,284.85,,2000-09-19.4,,HYP,351,,167,,,,,
"     C/2001 B2 (NEAT)",1.0017,5.307,150.60,145.09,304.76,,2000-09-01.7,,HYP,1123,,553,,,,,
"     C/2001 B3 (SOHO)",1.0000,0.008,144.54,7.10,85.46,,2001-01-25.3,,PAR,1,,28,T,,,,
"     C/2001 C1 (LINEAR)",0.9999,5.104,68.96,33.72,219.95,81600.10,2002-03-28.4,8.24e+06,COM,795,,229,,,,,
"     C/2001 C2 (SOHO)",1.0000,0.005,144.61,8.15,86.45,,2001-02-07.9,,PAR,1,,65,T,,,,
"     C/2001 C3 (SOHO)",1.0000,0.005,144.59,1.02,79.54,,2001-02-04.9,,PAR,1,,53,T,,,,
"     C/2001 C4 (SOHO)",1.0000,0.005,134.29,328.00,57.39,,2001-02-08.4,,PAR,1,,12,T,,,,
"     C/2001 C5 (SOHO)",1.0000,0.026,166.26,322.52,51.27,,2001-02-13.2,,PAR,1,,32,T,,,,
"     C/2001 C6 (SOHO)",1.0000,0.006,139.77,340.03,65.31,,2001-02-15.0,,PAR,1,,43,T,,,,
"     C/2001 C7 (SOHO)",1.0000,0.035,73.68,54.75,54.23,,2001-02-11.6,,PAR,0,,8,T,,,,
"     C/2001 E1 (SOHO)",1.0000,0.036,73.37,72.24,58.28,,2001-03-15.6,,PAR,0,,7,T,,,,
"     C/2001 F2 (SOHO)",1.0000,0.005,144.58,8.16,87.46,,2001-03-27.2,,PAR,2,,45,T,,,,
"     C/2001 G1 (LONEOS)",1.0028,8.236,45.36,203.89,343.28,,2001-10-09.2,,HYP,885,,134,,,,,
"     C/2001 G2 (SOHO)",1.0000,0.006,144.59,8.27,85.97,,2001-04-09.0,,PAR,1,,55,T,,,,
"     C/2001 G3 (SOHO)",1.0000,0.008,144.23,3.55,77.17,,2001-04-11.1,,PAR,0,,4,T,,,,
"     C/2001 H1 (SOHO)",1.0000,0.008,139.17,341.72,63.84,,2001-04-20.7,,PAR,0,,16,T,,,,
"     C/2001 H2 (SOHO)",1.0000,0.007,146.28,332.13,41.08,,2001-04-20.8,,PAR,0,,3,T,,,,
"     C/2001 H3 (SOHO)",1.0000,0.007,143.53,11.76,84.37,,2001-04-20.9,,PAR,0,,13,T,,,,
"     C/2001 H4 (SOHO)",1.0000,0.007,143.28,6.90,80.65,,2001-04-20.9,,PAR,0,,7,T,,,,
"     P/2001 H5 (NEAT)",0.6002,2.397,8.40,329.56,224.88,9.59,2001-01-28.7,14.7,JFc,98,5,43,,,,,
"     C/2001 H6 (SOHO)",1.0000,0.006,143.93,10.47,87.40,,2001-04-27.4,,PAR,1,,34,T,,,,
"     C/2001 H7 (SOHO)",1.0000,0.005,143.43,5.98,83.87,,2001-04-30.5,,PAR,0,,8,T,,,,
"     C/2001 H8 (SOHO)",1.0000,0.006,145.73,345.62,72.54,,2001-04-18.1,,PAR,0,,6,T,,,,
"     C/2001 HT50 (LINEAR-NEAT)",0.9977,2.792,163.21,42.91,324.07,2383.88,2003-07-09.0,4.12e+04,COM,1779,,3866,,,,,
"     C/2001 J2 (SOHO)",1.0000,0.007,142.82,14.97,87.54,,2001-05-05.8,,PAR,0,,5,T,,,,
"     C/2001 J3 (SOHO)",1.0000,0.008,138.41,332.57,58.26,,2001-05-07.0,,PAR,0,,5,T,,,,
"     C/2001 J4 (SOHO)",1.0000,0.005,143.05,7.06,84.73,,2001-05-10.5,,PAR,0,,11,T,,,,
"     C/2001 J5 (SOHO)",1.0000,0.005,141.93,13.43,91.41,,2001-05-13.5,,PAR,0,,13,T,,,,
"     C/2001 K2 (SOHO)",1.0000,0.005,143.11,10.77,87.21,,2001-05-20.2,,PAR,0,,24,T,,,,
"     C/2001 K3 (Skiff)",0.9989,3.060,52.03,289.85,3.45,5747.27,2001-04-22.8,1.54e+05,COM,142,,331,,,,,
"     C/2001 K4 (SOHO)",1.0000,0.007,145.97,3.06,82.86,,2001-05-22.9,,PAR,0,,17,T,,,,
"     C/2001 K5 (LINEAR)",0.9995,5.184,72.59,237.46,47.05,22255.87,2002-10-11.7,1.17e+06,COM,1305,,3286,,,,,
"     C/2001 K6 (SOHO)",1.0000,0.006,148.11,324.74,50.79,,2001-05-23.8,,PAR,0,,9,T,,,,
"     C/2001 K7 (SOHO)",1.0000,0.007,143.43,8.10,86.69,,2001-05-24.0,,PAR,0,,8,T,,,,
"     C/2001 K8 (SOHO)",1.0000,0.008,143.33,11.75,89.04,,2001-05-30.0,,PAR,0,,14,T,,,,
"     C/2001 K9 (SOHO)",1.0000,0.005,141.54,12.89,88.97,,2001-05-25.4,,PAR,1,,7,T,,,,
"     C/2001 K10 (SOHO)",1.0000,0.005,147.11,15.02,97.97,,2001-05-19.4,,PAR,1,,4,T,,,,
"     C/2001 K11 (SOHO)",1.0000,0.034,72.36,73.28,57.26,,2001-05-16.8,,PAR,0,,17,T,,,,
"     C/2001 L1 (SOHO)",1.0000,0.006,141.65,18.23,93.91,,2001-06-03.3,,PAR,1,,12,T,,,,
"     C/2001 L2 (SOHO)",1.0000,0.005,145.13,323.04,48.85,,2001-06-04.6,,PAR,0,,8,T,,,,
"     C/2001 L3 (SOHO)",1.0000,0.005,142.67,10.15,87.82,,2001-06-05.1,,PAR,0,,18,T,,,,
"     C/2001 L4 (SOHO)",1.0000,0.005,146.12,347.67,69.35,,2001-06-06.0,,PAR,0,,14,T,,,,
"     C/2001 L5 (SOHO)",1.0000,0.005,141.06,14.76,91.02,,2001-06-06.2,,PAR,0,,7,T,,,,
"     C/2001 L6 (SOHO)",1.0000,0.005,145.25,330.92,54.04,,2001-06-09.2,,PAR,1,,11,T,,,,
"     C/2001 L7 (SOHO)",1.0000,0.005,141.86,17.76,93.81,,2001-06-09.5,,PAR,0,,9,T,,,,
"     C/2001 L8 (SOHO)",1.0000,0.006,137.37,24.73,98.72,,2001-06-10.5,,PAR,0,,11,T,,,,
"     C/2001 L9 (SOHO)",1.0000,0.008,134.64,29.69,103.33,,2001-06-14.1,,PAR,0,,11,T,,,,
"     C/2001 L10 (SOHO)",1.0000,0.035,71.70,72.40,57.72,,2001-06-01.4,,PAR,0,,11,T,,,,
"     C/2001 L11 (SOHO)",1.0000,0.005,144.49,1.06,80.75,,2001-06-08.5,,PAR,0,,10,T,,,,
"     C/2001 M2 (SOHO)",1.0000,0.006,144.85,4.76,83.63,,2001-06-17.0,,PAR,0,,38,T,,,,
"     C/2001 M3 (SOHO)",1.0000,0.005,143.08,8.66,87.22,,2001-06-17.2,,PAR,1,,57,T,,,,
"     C/2001 M4 (SOHO)",1.0000,0.005,144.88,359.53,79.29,,2001-06-19.4,,PAR,0,,13,T,,,,
"     C/2001 M5 (SOHO)",1.0000,0.005,143.84,5.25,84.16,,2001-06-20.7,,PAR,0,,10,T,,,,
"     C/2001 M6 (SOHO)",1.0000,0.006,145.43,352.78,72.35,,2001-06-22.4,,PAR,1,,12,T,,,,
"     C/2001 M7 (SOHO)",1.0000,0.007,143.14,12.44,90.57,,2001-06-26.3,,PAR,1,,19,T,,,,
"     C/2001 M8 (SOHO)",1.0000,0.005,144.66,1.92,80.95,,2001-06-27.5,,PAR,1,,44,T,,,,
"     C/2001 M9 (SOHO)",1.0000,0.005,145.62,353.22,72.49,,2001-06-27.0,,PAR,0,,13,T,,,,
"     C/2001 M10 (NEAT)",0.8011,5.303,28.08,293.92,5.48,48.02,2001-06-21.2,138,JFc,526,3,93,,,,,
"     C/2001 M11 (SOHO)",1.0000,0.006,145.09,4.48,82.95,,2001-06-27.6,,PAR,0,,6,T,,,,
"     C/2001 N1 (SOHO)",1.0000,0.005,95.09,302.92,114.59,,2001-07-06.3,,PAR,1,,12,T,,,,
"     C/2001 N2 (LINEAR)",1.0011,2.669,138.54,52.80,151.90,,2002-08-19.6,,HYP,697,,884,,,,,
"     C/2001 O1 (SOHO)",1.0000,0.005,144.49,0.10,79.04,,2001-07-16.9,,PAR,0,,21,T,,,,
"     C/2001 O2 (NEAT)",0.9978,4.819,90.93,328.72,280.89,4372.78,1999-10-17.3,1.02e+05,COM,398,,73,,,,,
"     C/2001 OG108 (LONEOS)",0.9253,0.994,80.25,10.56,116.42,25.61,2002-03-15.2,48.5,HTC,340,2,882,,,,,
"     C/2001 P1 (SOHO)",1.0000,0.011,29.90,140.14,72.08,,2001-08-05.5,,PAR,1,,16,T,,,,
"     C/2001 P2 (SOHO)",1.0000,0.005,144.76,1.34,79.84,,2001-08-15.8,,PAR,0,,12,T,,,,
"     C/2001 Q1 (NEAT)",0.9659,5.834,66.95,139.26,175.46,336.69,2001-09-20.8,2.24e+03,COM,560,,77,,,,,
"     C/2001 Q3 (SOHO)",1.0000,0.037,106.63,155.03,268.11,,2001-08-26.5,,PAR,1,,47,T,,,,
"     C/2001 Q4 (NEAT)",1.0007,0.962,99.64,210.28,1.20,,2004-05-15.9,,HYP,1811,,2617,,1.6e-08,4.8e-10,4.3e-10,
"     C/2001 Q7 (SOHO)",1.0000,0.044,13.28,43.95,54.77,,2001-08-21.8,,PAR,0,,12,T,,,,
"     C/2001 Q8 (SOHO)",1.0000,0.045,13.07,44.76,56.22,,2001-08-24.8,,PAR,1,,11,T,,,,
"     C/2001 Q9 (SOHO)",1.0000,0.007,144.77,355.98,71.96,,2001-08-16.9,,PAR,0,,13,T,,,,
"     C/2001 R2 (SOHO)",1.0000,0.005,144.42,9.73,88.32,,2001-09-04.8,,PAR,1,,129,T,,,,
"     C/2001 R3 (SOHO)",1.0000,0.006,144.19,12.11,91.07,,2001-09-05.7,,PAR,0,,13,T,,,,
"     C/2001 R4 (SOHO)",1.0000,0.007,138.72,337.75,56.31,,2001-09-08.8,,PAR,0,,14,T,,,,
"     C/2001 R5 (SOHO)",1.0000,0.007,144.67,8.92,87.24,,2001-09-11.3,,PAR,1,,16,T,,,,
"     C/2001 R7 (SOHO)",1.0000,0.037,73.77,85.28,57.36,,2001-09-12.8,,PAR,0,,7,T,,,,
"     C/2001 R8 (SOHO)",1.0000,0.044,13.58,42.19,59.63,,2001-09-06.6,,PAR,0,,11,T,,,,
"     C/2001 R9 (SOHO)",1.0000,0.047,12.47,48.90,53.31,,2001-09-07.3,,PAR,0,,5,T,,,,
"     C/2001 RX14 (LINEAR)",1.0016,2.058,30.57,14.17,121.49,,2003-01-18.7,,HYP,673,,3261,,,,,
"     C/2001 S1 (Skiff)",0.9299,3.749,139.13,330.12,285.17,103.18,2001-06-02.3,391,COM,85,5,39,,,,,
"     C/2001 S2 (SOHO)",1.0000,0.005,144.40,2.68,81.06,,2001-09-28.9,,PAR,0,,25,T,,,,
"     C/2001 S3 (SOHO)",1.0000,0.005,144.46,9.39,89.55,,2001-09-29.4,,PAR,1,,12,T,,,,
"     C/2001 T1 (SOHO)",1.0000,0.036,72.87,72.56,57.41,,2001-10-09.1,,PAR,0,,8,T,,,,
"     C/2001 T2 (SOHO)",1.0000,0.007,143.82,5.30,80.74,,2001-10-13.0,,PAR,0,,23,T,,,,
"     C/2001 T5 (SOHO)",1.0000,0.048,55.26,327.74,179.51,,2001-10-15.7,,PAR,1,,23,T,,,,
"     C/2001 T6 (SOHO)",1.0000,0.006,146.71,358.68,80.61,,2001-10-15.9,,PAR,0,,5,T,,,,
"     C/2001 T7 (SOHO)",1.0000,0.005,144.85,7.44,91.47,,2001-10-07.1,,PAR,0,,18,T,,,,
"     C/2001 U1 (SOHO)",1.0000,0.005,144.36,7.79,88.10,,2001-10-16.9,,PAR,0,,5,T,,,,
"     C/2001 U2 (SOHO)",1.0000,0.006,142.98,7.05,80.50,,2001-10-17.7,,PAR,0,,7,T,,,,
"     C/2001 U3 (SOHO)",1.0000,0.005,144.58,8.62,87.65,,2001-10-17.9,,PAR,0,,33,T,,,,
"     C/2001 U4 (SOHO)",1.0000,0.005,144.21,2.99,82.05,,2001-10-18.3,,PAR,1,,47,T,,,,
"     C/2001 U5 (SOHO)",1.0000,0.005,144.11,3.70,81.84,,2001-10-19.0,,PAR,0,,22,T,,,,
"     C/2001 U6 (LINEAR)",0.9962,4.406,107.26,115.23,85.72,2294.89,2002-08-08.6,3.9e+04,COM,620,,110,,,,,
"     C/2001 U7 (SOHO)",1.0000,0.006,143.87,357.28,77.76,,2001-10-19.9,,PAR,1,,62,T,,,,
"     C/2001 U8 (SOHO)",1.0000,0.005,143.94,8.56,93.27,,2001-10-18.9,,PAR,0,,9,T,,,,
"     C/2001 U9 (SOHO)",1.0000,0.005,144.50,9.19,86.65,,2001-10-23.9,,PAR,1,,78,T,,,,
"     C/2001 U10 (SOHO)",1.0000,0.005,145.23,4.08,85.20,,2001-10-31.3,,PAR,0,,8,T,,,,
"     C/2001 V1 (SOHO)",1.0000,0.007,143.76,337.44,60.98,,2001-11-01.7,,PAR,0,,6,T,,,,
"     C/2001 V2 (SOHO)",1.0000,0.005,145.40,11.81,88.93,,2001-11-04.5,,PAR,0,,12,T,,,,
"     C/2001 V3 (SOHO)",1.0000,0.005,146.86,349.53,73.25,,2001-11-11.6,,PAR,0,,6,T,,,,
"     C/2001 V4 (SOHO)",1.0000,0.005,144.84,4.71,85.68,,2001-11-13.1,,PAR,0,,6,T,,,,
"     C/2001 V5 (SOHO)",1.0000,0.005,145.60,358.22,77.37,,2001-11-14.4,,PAR,0,,10,T,,,,
"     C/2001 V6 (SOHO)",1.0000,0.037,69.76,73.64,54.87,,2001-11-02.4,,PAR,0,,8,T,,,,
"     C/2001 W1 (LINEAR)",0.9989,2.399,118.65,91.94,6.16,4470.62,2001-12-24.9,1.06e+05,COM,80,,101,,,,,
"     C/2001 W2 (BATTERS)",0.9414,1.051,115.91,113.36,142.09,34.81,2001-12-23.9,75.9,HTC,198,4,350,,,,,
"     C/2001 W3 (SOHO)",1.0000,0.006,141.95,13.58,88.11,,2001-11-22.7,,PAR,0,,5,T,,,,
"     C/2001 W4 (SOHO)",1.0000,0.006,140.34,18.18,92.69,,2001-11-26.8,,PAR,0,,7,T,,,,
"     C/2001 X1 (LINEAR)",0.9970,1.698,115.63,336.07,202.20,1146.25,2002-01-08.0,1.38e+04,COM,90,,203,,,,,
"     C/2001 X4 (SOHO)",1.0000,0.005,147.82,336.54,60.24,,2001-12-02.7,,PAR,0,,8,T,,,,
"     C/2001 X5 (SOHO)",1.0000,0.006,138.71,23.35,97.31,,2001-12-04.9,,PAR,0,,6,T,,,,
"     C/2001 X6 (SOHO)",1.0000,0.005,147.01,328.76,50.77,,2001-12-06.6,,PAR,0,,9,T,,,,
"     C/2001 X7 (SOHO)",1.0000,0.008,147.30,353.27,73.18,,2001-12-08.4,,PAR,1,,9,T,,,,
"     C/2001 X8 (SOHO)",1.0000,0.037,72.28,74.35,56.15,,2001-12-12.8,,PAR,0,,13,T,,,,
"     C/2001 X9 (SOHO)",1.0000,0.008,142.15,309.62,29.88,,2001-12-13.1,,PAR,0,,10,T,,,,
"     C/2001 X10 (SOHO)",1.0000,0.036,73.46,73.79,56.74,,2001-12-15.5,,PAR,0,,9,T,,,,
"     C/2001 Y2 (SOHO)",1.0000,0.005,143.80,5.16,84.14,,2001-12-16.8,,PAR,0,,13,T,,,,
"     C/2001 Y3 (SOHO)",1.0000,0.007,145.34,6.49,85.06,,2001-12-16.8,,PAR,0,,7,T,,,,
"     C/2001 Y4 (SOHO)",1.0000,0.007,144.61,324.05,42.87,,2001-12-18.6,,PAR,0,,10,T,,,,
"     C/2001 Y5 (SOHO)",1.0000,0.005,144.61,8.83,87.04,,2001-12-22.9,,PAR,1,,51,T,,,,
"     C/2002 A1 (LINEAR)",0.7258,4.711,14.06,81.81,18.91,29.65,2001-11-27.5,71.2,JFc,839,4,124,,,,,
"     C/2002 A2 (LINEAR)",0.7265,4.707,14.05,81.93,19.26,29.71,2001-12-05.6,71.4,JFc,863,3,204,,,,,
"     C/2002 A3 (LINEAR)",1.0094,5.152,48.08,136.53,329.53,,2002-04-24.6,,HYP,527,,284,,,,,
"     C/2002 A4 (SOHO)",1.0000,0.037,72.13,75.45,61.50,,2002-01-01.3,,PAR,0,,8,T,,,,
"     C/2002 B1 (LINEAR)",0.7710,2.271,51.02,58.19,76.16,17.56,2002-04-20.0,31.2,HTC,204,4,92,,,,,
"     C/2002 B2 (LINEAR)",0.9972,3.842,152.87,54.32,257.07,2765.05,2002-04-06.8,5.15e+04,COM,87,,52,,,,,
"     C/2002 B3 (LINEAR)",1.0054,6.056,73.69,289.36,123.14,,2002-01-16.6,,HYP,44,,50,,,,,
"     C/2002 C2 (LINEAR)",0.9996,3.254,104.88,242.96,159.93,18113.44,2002-04-10.8,8.62e+05,COM,346,,206,,,,,
"     C/2002 C3 (SOHO)",1.0000,0.005,141.83,355.39,79.37,,2002-02-06.0,,PAR,1,,12,T,,,,
"     C/2002 C4 (SOHO)",1.0000,0.005,144.46,0.34,78.76,,2002-02-11.6,,PAR,1,,19,T,,,,
"     C/2002 CE10 (LINEAR)",0.7915,2.047,145.46,147.44,126.19,17.59,2003-06-22.0,30.8,HTC,894,2,818,,,,,
"     C/2002 D1 (SOHO)",1.0000,0.006,143.09,358.77,81.67,,2002-02-22.8,,PAR,0,,19,T,,,,
"     C/2002 E1 (SOHO)",1.0000,0.006,145.49,9.11,83.70,,2002-03-03.0,,PAR,0,,19,T,,,,
"     C/2002 E2 (Snyder-Murakami)",1.0008,1.466,92.54,244.58,9.03,,2002-02-21.7,,HYP,302,,905,,,,,
"     C/2002 E3 (SOHO)",1.0000,0.005,144.69,8.96,87.60,,2002-03-16.4,,PAR,1,,24,T,,,,
"     P/2002 EJ57 (LINEAR)",0.5939,2.635,4.97,330.38,166.89,10.34,2001-12-19.1,16.5,JFc,85,5,64,,,,,
"     C/2002 F1 (Utsunomiya)",0.9995,0.438,80.88,289.03,125.90,1905.07,2002-04-22.8,2.94e+04,COM,53,,161,,,,,
"     C/2002 F2 (SOHO)",1.0000,0.005,144.03,4.73,84.28,,2002-03-21.1,,PAR,0,,22,T,,,,
"     C/2002 F3 (SOHO)",1.0000,0.005,146.11,6.72,90.92,,2002-03-25.5,,PAR,0,,6,T,,,,
"     C/2002 G1 (SOHO)",1.0000,0.034,133.92,106.02,262.32,,2002-04-02.8,,PAR,0,,22,T,,,,
"     C/2002 G2 (SOHO)",1.0000,0.005,144.84,3.48,83.09,,2002-04-04.9,,PAR,0,,9,T,,,,
"     C/2002 G3 (SOHO)",1.0000,0.079,46.89,158.87,355.93,,2002-04-16.7,,PAR,5,,200,T,,,,
"     C/2002 G4 (SOHO)",1.0000,0.005,143.90,14.29,89.24,,2002-04-04.8,,PAR,0,,4,T,,,,
"     C/2002 G5 (SOHO)",1.0000,0.007,144.26,5.63,77.39,,2002-04-13.2,,PAR,1,,13,T,,,,
"     C/2002 H1 (SOHO)",1.0000,0.007,142.51,349.27,71.16,,2002-04-18.3,,PAR,1,,48,T,,,,
"     C/2002 H2 (LINEAR)",0.9941,1.635,110.50,269.00,20.42,549.32,2002-03-23.4,4.57e+03,COM,97,,369,,,,,
"     C/2002 H3 (SOHO)",1.0000,0.005,145.88,4.29,87.61,,2002-04-18.0,,PAR,0,,8,T,,,,
"     C/2002 H4 (SOHO)",1.0000,0.005,145.42,359.38,78.94,,2002-04-18.4,,PAR,0,,5,T,,,,
"     C/2002 H5 (SOHO)",1.0000,0.005,137.98,307.81,43.57,,2002-04-19.3,,PAR,0,,5,T,,,,
"     C/2002 H6 (SOHO)",1.0000,0.007,142.42,18.23,88.00,,2002-04-26.6,,PAR,0,,11,T,,,,
"     C/2002 H7 (SOHO)",1.0000,0.006,145.43,5.76,87.71,,2002-04-24.3,,PAR,1,,10,T,,,,
"     C/2002 H8 (SOHO)",1.0000,0.034,69.34,73.71,55.83,,2002-04-20.9,,PAR,0,,9,T,,,,
"     C/2002 J1 (SOHO)",1.0000,0.005,145.64,0.57,81.48,,2002-05-02.1,,PAR,0,,7,T,,,,
