"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT"
"  228P/LINEAR",0.1769,3.430,7.92,31.07,114.81,4.91,2011-08-23.9,8.51,JFc,7093,0,433,,,-1.0e-10,,
"  229P/Gibbs",0.3761,2.454,26.07,157.91,224.23,5.41,2017-05-20.9,7.8,JFc,8460,0,288,,,,,
"  230P/LINEAR",0.5631,1.485,14.65,112.40,308.91,5.31,2015-11-18.0,6.27,JFc,9979,0,1516,,,2.6e-12,,
"  231P/LINEAR-NEAT",0.2468,3.032,12.33,133.08,42.43,5.02,2011-05-16.4,8.08,JFc,25635,0,573,,1.6e-07,-7.7e-09,,
"  232P/Hill",0.3349,2.983,14.64,56.13,53.42,5.99,2009-10-01.4,9.5,JFc,7058,0,297,,,,,
"  233P/La Sagra",0.4106,1.788,11.28,74.98,27.14,4.28,2015-06-25.3,5.28,ETc,5911,1,109,,,,,
"  234P/LINEAR",0.2511,2.861,11.51,179.73,358.41,4.78,2009-12-23.8,7.47,JFc,8085,0,293,,,,,
"  235P/LINEAR",0.3134,2.748,8.89,204.49,333.74,5.26,2010-03-21.7,8.01,JFc,6003,1,268,,,,,
"  236P/LINEAR",0.5086,1.832,16.33,245.66,119.34,5.62,2010-09-08.7,7.2,JFc,7609,0,855,,,,,
"  237P/LINEAR",0.4344,1.987,14.01,245.38,25.24,5.04,2023-05-14.5,6.58,JFc,5254,0,2257,,,,,
"  238P/Read",0.2517,2.369,1.26,51.63,324.21,3.96,2022-06-05.4,5.63,ETc,6241,1,119,,1.6e-09,-1.0e-10,1.3e-10,
"  239P/LINEAR",0.6314,1.648,11.31,255.94,220.38,7.29,2019-01-09.9,9.45,JFc,7096,0,365,,,,,
"  240P/NEAT",0.4489,2.134,23.50,74.93,352.09,5.61,2018-05-15.8,7.62,JFc,2617,1,983,,,-6.1e-09,,
"  241P/LINEAR",0.6099,1.932,20.87,305.81,110.53,7.98,2010-07-17.3,11,JFc,8217,0,874,,3.9e-10,3.2e-10,,
"  242P/Spahr",0.2762,3.980,32.51,180.70,247.56,7.02,2012-04-01.4,12.9,JFc,9876,0,828,,,,,
"  243P/NEAT",0.3597,2.456,7.63,87.72,283.94,5.22,2011-03-03.4,7.51,JFc,6019,0,745,,,,,
"  244P/Scotti",0.1986,3.921,2.26,354.13,92.75,5.86,2012-01-20.9,10.8,JFc,8580,0,1834,,,,,
"  245P/WISE",0.4661,2.139,21.09,318.53,316.40,5.88,2010-02-04.5,8.02,JFc,5882,1,103,,,,,
"  246P/NEAT",0.2850,2.880,15.97,78.78,176.17,5.18,2013-01-28.6,8.08,JFc,8057,0,4902,,1.3e-08,4.5e-09,,
